Hull City,2-1,Leicester City
Burnley FC,0-1,Swansea City
Crystal Palace,0-1,West Bromwich Albion
Everton,1-1,Tottenham
Middlesbrough FC,1-1,Stoke City
Southampton FC,1-1,Watford FC
Man City,2-1,Sunderland AFC
AFC Bournemouth,1-3,Man United
Arsenal,3-4,Liverpool
Chelsea,2-1,West Ham United
Man United,2-0,Southampton FC
Stoke City,1-4,Man City
Burnley FC,2-0,Liverpool
Swansea City,0-2,Hull City
Tottenham,1-0,Crystal Palace
Watford FC,1-2,Chelsea
West Bromwich Albion,1-2,Everton
Leicester City,0-0,Arsenal
Sunderland AFC,1-2,Middlesbrough FC
West Ham United,1-0,AFC Bournemouth
Tottenham,1-1,Liverpool
Chelsea,3-0,Burnley FC
Crystal Palace,1-1,AFC Bournemouth
Everton,1-0,Stoke City
Leicester City,2-1,Swansea City
Southampton FC,1-1,Sunderland AFC
Watford FC,1-3,Arsenal
Hull City,0-1,Man United
West Bromwich Albion,0-0,Middlesbrough FC
Man City,3-1,West Ham United
Man United,1-2,Man City
AFC Bournemouth,1-0,West Bromwich Albion
Arsenal,2-1,Southampton FC
Burnley FC,1-1,Hull City
Middlesbrough FC,1-2,Crystal Palace
Stoke City,0-4,Tottenham
West Ham United,2-4,Watford FC
Liverpool,4-1,Leicester City
Swansea City,2-2,Chelsea
Sunderland AFC,0-3,Everton
Chelsea,1-2,Liverpool
Hull City,1-4,Arsenal
Leicester City,3-0,Burnley FC
Man City,4-0,AFC Bournemouth
West Bromwich Albion,4-2,West Ham United
Everton,3-1,Middlesbrough FC
Watford FC,3-1,Man United
Crystal Palace,4-1,Stoke City
Southampton FC,1-0,Swansea City
Tottenham,1-0,Sunderland AFC
Man United,4-1,Leicester City
AFC Bournemouth,1-0,Everton
Liverpool,5-1,Hull City
Middlesbrough FC,1-2,Tottenham
Stoke City,1-1,West Bromwich Albion
Sunderland AFC,2-3,Crystal Palace
Swansea City,1-3,Man City
Arsenal,3-0,Chelsea
West Ham United,0-3,Southampton FC
Burnley FC,2-0,Watford FC
Everton,1-1,Crystal Palace
at Oct/1],,
Swansea City,1-2,Liverpool
Hull City,0-2,Chelsea
Sunderland AFC,1-1,West Bromwich Albion
Watford FC,2-2,AFC Bournemouth
West Ham United,1-1,Middlesbrough FC
Man United,1-1,Stoke City
Leicester City,0-0,Southampton FC
Tottenham,2-0,Man City
Burnley FC,0-1,Arsenal
Chelsea,3-0,Leicester City
AFC Bournemouth,6-1,Hull City
Arsenal,3-2,Swansea City
Man City,1-1,Everton
Stoke City,2-0,Sunderland AFC
West Bromwich Albion,1-1,Tottenham
Crystal Palace,0-1,West Ham United
Oct/16],,
Middlesbrough FC,0-1,Watford FC
Southampton FC,3-1,Burnley FC
